,Product,Aisle Assigned,Cosine Similarity,aisle_origin,number of transactions that had item
0,Organic Riced Cauliflower,fresh vegetables,0.05928448682869861,missing,8366
1,Pinot Noir Rose,white wines,0.05568271389033445,other,382
2,The Original Margarita Mix,spirits,0.05381034711436959,other,136
3,Margarita Salt,spirits,0.050016723502805296,other,129
4,White Apple Cauliflower & Leek Organic Baby Food,baby food formula,0.04778118221580666,missing,424
5,Peanut Butter Ice Cream Cup,ice cream ice,0.04626008387143853,missing,1933
6,Eat Your Colors Purples Puree Baby Food,baby food formula,0.04455361303437754,missing,381
7,Eat Your Colors Reds Puree Baby Food,baby food formula,0.041112731818956284,missing,333
8,Classic Margarita Mix,spirits,0.04048076749120074,other,72
9,Facial Mask Age Defying Hydro Serum,beauty,0.04009364300727358,other,47
10,Cookie Dough Ice Cream Chocolate Chip,ice cream ice,0.03961810124244389,missing,1311
11,Natural Lemon Flavored Sparkling Water,water seltzer sparkling water,0.03884077553875737,missing,1455
12,"Stage 2 Eat Your Colors Organic, Green: Pea, Kiwi, Pear & Avocado Baby Food",baby food formula,0.038249092338428964,missing,309
13,Protein Bar Maple Sea Salt,energy granola bars,0.036342280962997485,missing,609
14,Roasted Almond Butter,fresh fruits,0.03619310297777038,other,3976
15,Brightening Hydro Serum Facial Mask,beauty,0.034995896988140845,other,74
16,Aromatic Bitters,spirits,0.03452211451099561,other,99
17,Protein Bar Mint Chocolate,energy granola bars,0.03251826045482304,missing,448
18,Organic Mango Yogurt,yogurt,0.030211506785155908,missing,1675
19,Maple Almond Bar,energy granola bars,0.030159739647781892,missing,337
20,S'mores Ice Cream,ice cream ice,0.029955685848016812,missing,686
21,Pulled Porkless Pocket Meals,frozen vegan vegetarian,0.02980595659089617,missing,138
22,Organic Celery Bunch,fresh vegetables,0.029632173228069842,missing,1645
23,Recolte Wine,white wines,0.02880739183702319,other,166
24,Bold & Spicy Bloody Mary Mix,spirits,0.02860304560087123,other,108
25,Whispering Angel Rosé,red wines,0.02845971585634466,other,153
26,Grenadine Syrup,spirits,0.028341825100934557,other,110
27,California Blush Pink Champagne,specialty wines champagnes,0.028109927307505857,other,37
28,Bloody Mary Mix,spirits,0.027315534160852747,other,190
29,Strained Non-Fat Strawberry Icelandic Style Skyr Yogurt,yogurt,0.026899028300730276,missing,750
30,Maximum Strength Original Paste Diaper Rash Ointment,diapers wipes,0.026618450611921682,other,270
31,Oatneal Cookie Ice Cream,ice cream ice,0.026349454334387942,missing,650
32,Organic Whole Milk Washington Black Cherry Yogurt,yogurt,0.025694640740972045,missing,1391
33,Pomegranate Pick Me Up Protein Smoothies,frozen juice,0.025559235877170846,missing,13
34,Sweetened Lime Juice,spirits,0.0255079856268436,other,102
35,Grenadine,spirits,0.025167324709151857,other,62
36,Peanut Butter & Coconut Bar,energy granola bars,0.024755059848555104,missing,297
37,Cayenne Cleanse Kombucha,tea,0.02472132985134922,missing,904
38,Light CocoWhip! Coconut Whipped Topping,soy lactosefree,0.024557912357804183,other,1536
39,Organic Chocolate Chip Cookie Dough,doughs gelatins bake mixes,0.024014674886660387,missing,737
40,Protein Smoothies Awesome Acai Berry,frozen juice,0.02322091148713876,missing,7
41,Organic Asian Chopped Salad Kit,prepared soups salads,0.022986007207139333,missing,288
42,Stella Pink Semi-Sweet,white wines,0.02249739888862156,other,57
43,Soy & Dairy Free Plain Unsweetened Almond Milk Yogurt,soy lactosefree,0.02233243662543654,missing,1005
44,Icelandic Style Cream-Skyr 4% Milkfat Strained Whole-Milk Yogurt Mango,yogurt,0.022130878482014057,missing,499
45,Nighttime Sleep Aid Caplets,cocoa drink mixes,0.02195345314124905,other,55
46,Original Bloody Mary Mix,spirits,0.021603710794922903,other,135
47,Cane Sugar Cocktail Simple Syrup,spirits,0.021511827690085663,other,109
48,Organic Vanilla Sugar Cookies,doughs gelatins bake mixes,0.021457219337534517,missing,310
49,Infants Pain Reliever and Fever Reducer Berry Drops,cold flu allergy,0.0211907234751671,other,205
50,Organic Black Bean Beet Banana Baby Food,baby food formula,0.021142296636555327,missing,76
51,Psychic Detox Magickal Mineral Bath Salts,soap,0.021128866166549198,other,59
52,Peppermint Essential Oil,air fresheners candles,0.021088483183449847,other,115
53,Pink Lemonade Liquid Drink Enhancer,mint gum,0.02107726331928424,missing,24
54,Sweet Vermouth Rosso,spirits,0.020975566773972235,other,12
55,Coconut Flour,baking ingredients,0.0207760209434835,other,434
56,93/7 Ground Beef,spirits,0.020464063338949606,other,1307
57,Organic Ground Chicken,fresh vegetables,0.020332616492530046,missing,802
58,Organic Plain Unsweetened Nondairy Cashew Yogurt,soy lactosefree,0.020170752935494442,missing,868
59,Cotes De Provence,specialty wines champagnes,0.020016169588051528,other,101
60,Sweet & Sour Mix,spirits,0.019851145596646514,other,32
61,Maximum Absorbency Underwear for Men - L/XL,first aid,0.019795189561622396,other,60
62,California White Zinfandel,white wines,0.019783655042753912,other,91
63,Baby Healing Ointment,diapers wipes,0.01968307879048402,other,160
64,Eat Your Colors Yellow Puree Baby Food,baby food formula,0.01966323173371848,missing,67
65,BabyRub® Soothing Ointment,cold flu allergy,0.01962513024784853,other,90
66,Organic Nondairy Strawberry Cashew Yogurt,soy lactosefree,0.01947751786355036,missing,914
67,Organic Honey Balsamic Dressing & Marinade,indian foods,0.019290273658736506,missing,13
68,"Mixer, Margarita",spirits,0.01928305145486743,other,23
69,Eggless Scramble Breakfast Pockets,frozen vegan vegetarian,0.019204146073678697,missing,64
70,Chocolate Almond Crunch Ice Cream,ice cream ice,0.018840939769031357,missing,239
71,Dry Roasted No Salt Almonds,kitchen supplies,0.018639361363046624,other,84
